Desktop, C:\Users\passp\Desktop
Programs, C:\Users\passp\AppData\Roaming\Microsoft\Windows\Start Menu\Programs
MyDocuments, C:\Users\passp\Documents
MyDocuments, C:\Users\passp\Documents
Favorites, C:\Users\passp\Favorites
Startup, C:\Users\passp\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup
Recent, C:\Users\passp\AppData\Roaming\Microsoft\Windows\Recent
SendTo, C:\Users\passp\AppData\Roaming\Microsoft\Windows\SendTo
StartMenu, C:\Users\passp\AppData\Roaming\Microsoft\Windows\Start Menu
MyMusic, C:\Users\passp\Music
MyVideos, C:\Users\passp\Videos
DesktopDirectory, C:\Users\passp\Desktop
MyComputer, 
NetworkShortcuts, C:\Users\passp\AppData\Roaming\Microsoft\Windows\Network Shortcuts
Fonts, C:\WINDOWS\Fonts
Templates, C:\Users\passp\AppData\Roaming\Microsoft\Windows\Templates
CommonStartMenu, C:\ProgramData\Microsoft\Windows\Start Menu
CommonPrograms, C:\ProgramData\Microsoft\Windows\Start Menu\Programs
CommonStartup, C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup
CommonDesktopDirectory, C:\Users\Public\Desktop
ApplicationData, C:\Users\passp\AppData\Roaming
PrinterShortcuts, 
LocalApplicationData, C:\Users\passp\AppData\Local
InternetCache, C:\Users\passp\AppData\Local\Microsoft\Windows\INetCache
Cookies, C:\Users\passp\AppData\Local\Microsoft\Windows\INetCookies
History, C:\Users\passp\AppData\Local\Microsoft\Windows\History
CommonApplicationData, C:\ProgramData
Windows, C:\WINDOWS
System, C:\WINDOWS\system32
ProgramFiles, C:\Program Files
MyPictures, Z:\Users\John\Pictures
UserProfile, C:\Users\passp
SystemX86, C:\WINDOWS\SysWOW64
ProgramFilesX86, C:\Program Files (x86)
CommonProgramFiles, C:\Program Files\Common Files
CommonProgramFilesX86, C:\Program Files (x86)\Common Files
CommonTemplates, C:\ProgramData\Microsoft\Windows\Templates
CommonDocuments, C:\Users\Public\Documents
CommonAdminTools, C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools
AdminTools, C:\Users\passp\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Administrative Tools
CommonMusic, C:\Users\Public\Music
CommonPictures, C:\Users\Public\Pictures
CommonVideos, C:\Users\Public\Videos
Resources, C:\WINDOWS\resources
LocalizedResources, 
CommonOemLinks, 
CDBurning, C:\Users\passp\AppData\Local\Microsoft\Windows\Burn\Burn
